name,rating,store,cost,category,expected_lifespan_in_years,lifetime_earnings,lifetime_cost,net_profit,total_net_profit
Bullet Force,4.5,Google,0,Games,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Cooking Fever,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Cooking Fever,4.5,Google,0,Games,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Discord - Chat for Gamers,4.5,Apple,0,Social Networking,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Discord - Chat for Gamers,4.5,Google,0,Communication,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Disney Crossy Road,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Disney Crossy Road,4.5,Google,0,Family,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
DoorDash - Food Delivery,4.5,Apple,0,Food & Drink,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
DoorDash - Food Delivery,4.5,Google,0,Food & Drink,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Dude Perfect,4.5,Apple,0.99,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Dude Perfect,4.5,Google,0,Sports,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Dude Perfect 2,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Dude Perfect 2,4.5,Google,0,Games,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
GroupMe,4.5,Apple,0,Social Networking,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
GroupMe,4.5,Google,0,Communication,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Hay Day,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Hay Day,4.5,Google,0,Family,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Hot Wheels: Race Off,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Hot Wheels: Race Off,4.5,Google,0,Family,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Hungry Shark Evolution,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Hungry Shark Evolution,4.5,Google,0,Games,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Hungry Shark World,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Hungry Shark World,4.5,Google,0,Games,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Instagram,4.5,Apple,0,Photo & Video,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Instagram,4.5,Google,0,Social,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Microsoft Excel,4.5,Apple,0,Productivity,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Microsoft Excel,4.5,Google,0,Productivity,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Microsoft Word,4.5,Apple,0,Productivity,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Microsoft Word,4.5,Google,0,Productivity,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
My Horse,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
My Horse,4.5,Google,0,Family,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
My Talking Angela,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
My Talking Angela,4.5,Google,0,Games,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
My Talking Tom,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
My Talking Tom,4.5,Google,0,Family,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Nyan Cat: Lost In Space,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Nyan Cat: Lost In Space,4.5,Google,0,Games,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
OK K.O.! Lakewood Plaza Turbo,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
OK K.O.! Lakewood Plaza Turbo,4.5,Google,0,Family,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
PicsArt Photo Studio: Collage Maker & Pic Editor,4.5,Apple,0,Photo & Video,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
PicsArt Photo Studio: Collage Maker & Pic Editor,4.5,Google,0,Photography,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Real Basketball,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Real Basketball,4.5,Google,0,Sports,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Real Racing 3,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Real Racing 3,4.5,Google,0,Family,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
ROBLOX,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
ROBLOX,4.5,Google,0,Family,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Rolling Sky,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Rolling Sky,4.5,Google,0,Games,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Seven - 7 Minute Workout Training Challenge,4.5,Apple,0,Health & Fitness,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Seven - 7 Minute Workout Training Challenge,4.5,Google,0,Health & Fitness,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
SimCity BuildIt,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
SimCity BuildIt,4.5,Google,0,Family,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Smash Hit,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Smash Hit,4.5,Google,0,Games,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Sonic Dash,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Sonic Dash,4.5,Google,0,Games,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Star Wars™: Galaxy of Heroes,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Star Wars™: Galaxy of Heroes,4.5,Google,0,Family,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Starbucks,4.5,Apple,0,Food & Drink,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Starbucks,4.5,Google,0,Food & Drink,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Subway Surfers,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Subway Surfers,4.5,Google,0,Games,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
The Washington Post Classic,4.5,Apple,0,News,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
The Washington Post Classic,4.5,Google,0,News And Magazines,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Traffic Racer,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Traffic Racer,4.5,Google,0,Games,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Trello,4.5,Apple,0,Productivity,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Trello,4.5,Google,0,Productivity,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Trivia Crack,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Trivia Crack,4.5,Google,0,Games,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Wish - Shopping Made Fun,4.5,Apple,0,Shopping,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
Wish - Shopping Made Fun,4.5,Google,0,Shopping,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
YouTube Kids,4.5,Apple,0,Entertainment,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
YouTube Kids,4.5,Google,0,Family,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$460,000.00 "
H*nest Meditation,4.5,Apple,1.99,Entertainment,10,"$300,000.00 ","$79,900.00 ","$220,100.00 ","$459,400.00 "
H*nest Meditation,4.9,Google,1.99,Lifestyle,11.8,"$324,000.00 ","$84,700.00 ","$239,300.00 ","$459,400.00 "
Adobe Illustrator Draw,4.4,Google,0,Photography,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Adobe Illustrator Draw,4.5,Apple,0,Productivity,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Angry Birds Rio,4.4,Google,0,Games,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Angry Birds Rio,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Bad Piggies HD,4.4,Google,0,Family,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Bad Piggies HD,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Bejeweled Classic,4.4,Google,0,Family,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Bejeweled Classic,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Call of Duty®: Heroes,4.4,Google,0,Games,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Call of Duty®: Heroes,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Candy Crush Saga,4.4,Google,0,Games,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Candy Crush Saga,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Candy Crush Soda Saga,4.4,Google,0,Games,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Candy Crush Soda Saga,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
