name,rating,store,cost,category,expected_lifespan_in_years,lifetime_earnings,lifetime_cost,net_profit,total_net_profit
Retro City Rampage DX,4.5,Apple,4.99,Games,10,"$300,000.00 ","$109,900.00 ","$190,100.00 ","$409,800.00 "
Retro City Rampage DX,4.7,Google,2.99,Games,11.4,"$312,000.00 ","$92,300.00 ","$219,700.00 ","$409,800.00 "
DRAGON QUEST,4.2,Google,2.99,Family,10.4,"$282,000.00 ","$86,300.00 ","$195,700.00 ","$405,800.00 "
DRAGON QUEST,4.5,Apple,2.99,Games,10,"$300,000.00 ","$89,900.00 ","$210,100.00 ","$405,800.00 "
Out There Chronicles - Ep. 1,4,Apple,1.99,Games,9,"$270,000.00 ","$73,900.00 ","$196,100.00 ","$401,400.00 "
Out There Chronicles - Ep. 1,4.4,Google,2.99,Family,10.8,"$294,000.00 ","$88,700.00 ","$205,300.00 ","$401,400.00 "
Toca Builders,4.2,Google,3.99,Family,10.4,"$282,000.00 ","$96,300.00 ","$185,700.00 ","$395,800.00 "
Toca Builders,4.5,Apple,2.99,Education,10,"$300,000.00 ","$89,900.00 ","$210,100.00 ","$395,800.00 "
Dr. Panda & Toto's Treehouse,4.4,Google,3.99,Family,10.8,"$294,000.00 ","$98,700.00 ","$195,300.00 ","$395,400.00 "
Dr. Panda & Toto's Treehouse,4.5,Apple,3.99,Entertainment,10,"$300,000.00 ","$99,900.00 ","$200,100.00 ","$395,400.00 "
Dr. Panda Hospital,4,Apple,2.99,Education,9,"$270,000.00 ","$83,900.00 ","$186,100.00 ","$391,400.00 "
Dr. Panda Hospital,4.4,Google,2.99,Family,10.8,"$294,000.00 ","$88,700.00 ","$205,300.00 ","$391,400.00 "
Sago Mini Babies,4,Apple,2.99,Education,9,"$270,000.00 ","$83,900.00 ","$186,100.00 ","$386,200.00 "
Sago Mini Babies,4.5,Google,3.99,Family,11,"$300,000.00 ","$99,900.00 ","$200,100.00 ","$386,200.00 "
Farming Simulator 16,4.2,Google,2.99,Family,10.4,"$282,000.00 ","$86,300.00 ","$195,700.00 ","$385,800.00 "
Farming Simulator 16,4.5,Apple,4.99,Games,10,"$300,000.00 ","$109,900.00 ","$190,100.00 ","$385,800.00 "
Battleheart Legacy,4.5,Apple,4.99,Games,10,"$300,000.00 ","$109,900.00 ","$190,100.00 ","$385,000.00 "
Battleheart Legacy,4.6,Google,4.99,Family,11.2,"$306,000.00 ","$111,100.00 ","$194,900.00 ","$385,000.00 "
Dr. Panda Supermarket,4,Apple,2.99,Education,9,"$270,000.00 ","$83,900.00 ","$186,100.00 ","$381,800.00 "
Dr. Panda Supermarket,4.2,Google,2.99,Family,10.4,"$282,000.00 ","$86,300.00 ","$195,700.00 ","$381,800.00 "
Dr. Panda Farm,4,Apple,2.99,Education,9,"$270,000.00 ","$83,900.00 ","$186,100.00 ","$377,000.00 "
Dr. Panda Farm,4.1,Google,2.99,Family,10.2,"$276,000.00 ","$85,100.00 ","$190,900.00 ","$377,000.00 "
F-Sim Space Shuttle,4.4,Google,4.99,Family,10.8,"$294,000.00 ","$108,700.00 ","$185,300.00 ","$375,400.00 "
F-Sim Space Shuttle,4.5,Apple,4.99,Games,10,"$300,000.00 ","$109,900.00 ","$190,100.00 ","$375,400.00 "
The EO Bar,4.7,Google,6.99,Health & Fitness,11.4,"$312,000.00 ","$132,300.00 ","$179,700.00 ","$373,800.00 "
The EO Bar,5,Apple,6.99,Health & Fitness,11,"$330,000.00 ","$135,900.00 ","$194,100.00 ","$373,800.00 "
Paprika Recipe Manager,4.1,Google,4.99,Food & Drink,10.2,"$276,000.00 ","$105,100.00 ","$170,900.00 ","$361,000.00 "
Paprika Recipe Manager,4.5,Apple,4.99,Food & Drink,10,"$300,000.00 ","$109,900.00 ","$190,100.00 ","$361,000.00 "
Don't Starve: Pocket Edition,4,Apple,4.99,Games,9,"$270,000.00 ","$103,900.00 ","$166,100.00 ","$351,400.00 "
Don't Starve: Pocket Edition,4.4,Google,4.99,Games,10.8,"$294,000.00 ","$108,700.00 ","$185,300.00 ","$351,400.00 "
LEGO® Friends,4,Apple,4.99,Games,9,"$270,000.00 ","$103,900.00 ","$166,100.00 ","$351,400.00 "
LEGO® Friends,4.4,Google,4.99,Family,10.8,"$294,000.00 ","$108,700.00 ","$185,300.00 ","$351,400.00 "
"Please, Don't Touch Anything",4,Apple,4.99,Games,9,"$270,000.00 ","$103,900.00 ","$166,100.00 ","$351,400.00 "
"Please, Don't Touch Anything",4.4,Google,4.99,Family,10.8,"$294,000.00 ","$108,700.00 ","$185,300.00 ","$351,400.00 "
NBA JAM by EA SPORTS™,4,Apple,4.99,Games,9,"$270,000.00 ","$103,900.00 ","$166,100.00 ","$346,600.00 "
NBA JAM by EA SPORTS™,4.3,Google,4.99,Family,10.6,"$288,000.00 ","$107,500.00 ","$180,500.00 ","$346,600.00 "
LEGO Batman: DC Super Heroes,4,Apple,4.99,Games,9,"$270,000.00 ","$103,900.00 ","$166,100.00 ","$341,800.00 "
LEGO Batman: DC Super Heroes,4.2,Google,4.99,Family,10.4,"$282,000.00 ","$106,300.00 ","$175,700.00 ","$341,800.00 "
RollerCoaster Tycoon® Classic,4,Apple,5.99,Games,9,"$270,000.00 ","$113,900.00 ","$156,100.00 ","$341,000.00 "
RollerCoaster Tycoon® Classic,4.6,Google,5.99,Games,11.2,"$306,000.00 ","$121,100.00 ","$184,900.00 ","$341,000.00 "
My Movies Pro - Movie & TV Collection Library,4.5,Apple,7.99,Catalogs,10,"$300,000.00 ","$139,900.00 ","$160,100.00 ","$325,000.00 "
My Movies Pro - Movie & TV Collection Library,4.6,Google,7.99,Lifestyle,11.2,"$306,000.00 ","$141,100.00 ","$164,900.00 ","$325,000.00 "
Grand Theft Auto: San Andreas,4,Apple,6.99,Games,9,"$270,000.00 ","$123,900.00 ","$146,100.00 ","$311,400.00 "
Grand Theft Auto: San Andreas,4.4,Google,6.99,Games,10.8,"$294,000.00 ","$128,700.00 ","$165,300.00 ","$311,400.00 "
Baldur's Gate: Enhanced Edition,4,Apple,9.99,Games,9,"$270,000.00 ","$153,900.00 ","$116,100.00 ","$256,200.00 "
Baldur's Gate: Enhanced Edition,4.5,Google,9.99,Family,11,"$300,000.00 ","$159,900.00 ","$140,100.00 ","$256,200.00 "
FINAL FANTASY V,4.5,Apple,14.99,Games,10,"$300,000.00 ","$209,900.00 ","$90,100.00 ","$250,200.00 "
FINAL FANTASY V,4.5,Google,7.99,Family,11,"$300,000.00 ","$139,900.00 ","$160,100.00 ","$250,200.00 "
XCOM®: Enemy Within,4,Apple,9.99,Games,9,"$270,000.00 ","$153,900.00 ","$116,100.00 ","$241,800.00 "
XCOM®: Enemy Within,4.2,Google,9.99,Family,10.4,"$282,000.00 ","$156,300.00 ","$125,700.00 ","$241,800.00 "
"Muscle Premium - Human Anatomy, Kinesiology, Bones",4.2,Google,24.99,Medical,10.4,"$282,000.00 ","$306,300.00 ","($24,300.00)","$15,800.00 "
"Muscle Premium - Human Anatomy, Kinesiology, Bones",4.5,Apple,19.99,Medical,10,"$300,000.00 ","$259,900.00 ","$40,100.00 ","$15,800.00 "
